SalesID,Date,ProductID,CustomerID,StoreID,Quantity,Price,SalesAmount
1,2024-10-02,47,63,12,1,336.08,336.08
2,2023-02-27,44,84,19,3,227.48,682.44
3,2024-09-25,35,25,18,3,11.97,35.91
4,2024-05-27,17,12,1,2,365.0,730.0
5,2023-04-06,35,149,7,2,11.97,23.94
6,2024-09-29,19,25,12,1,287.37,287.37
7,2023-04-28,20,11,10,1,262.81,262.81
8,2024-07-13,36,64,12,2,103.43,206.86
9,2024-08-23,35,126,11,2,11.97,23.94
10,2024-05-02,32,50,4,4,214.58,858.32
11,2023-08-25,48,190,19,3,334.63,1003.89
12,2023-09-29,44,89,6,1,227.48,227.48
13,2023-07-08,40,99,9,1,463.52,463.52
14,2024-12-04,24,116,20,3,272.15,816.45
15,2024-03-22,17,96,10,3,365.0,1095.0
16,2024-08-03,7,177,5,1,95.21,95.21
17,2023-09-04,43,14,13,2,425.77,851.54
18,2023-03-17,50,1,9,2,140.99,281.98
19,2023-06-03,1,25,2,3,124.31,372.93
20,2024-10-17,35,187,18,1,11.97,11.97
21,2024-03-10,32,72,1,3,214.58,643.74
22,2023-03-27,36,69,12,2,103.43,206.86
23,2024-11-27,13,133,10,4,421.93,1687.72
24,2023-10-12,6,105,2,4,198.58,794.32
25,2023-08-08,14,147,9,2,227.63,455.26
26,2023-03-10,37,23,2,3,357.11,1071.33
27,2023-02-16,48,9,14,4,334.63,1338.52
28,2023-04-04,15,118,11,2,200.6,401.2
29,2024-03-28,47,94,11,1,336.08,336.08
30,2023-07-23,4,178,17,3,417.43,1252.29
31,2023-08-06,40,144,4,3,463.52,1390.56
32,2024-04-18,16,33,13,4,463.7,1854.8
33,2024-03-07,28,130,7,3,141.62,424.86
34,2023-12-07,16,14,16,4,463.7,1854.8
35,2024-07-04,4,1,1,4,417.43,1669.72
36,2024-09-03,45,90,13,2,52.23,104.46
37,2023-10-16,26,186,1,4,482.8,1931.2
38,2023-09-11,28,89,11,1,141.62,141.62
39,2023-12-23,32,144,6,3,214.58,643.74
40,2023-01-23,45,90,20,4,52.23,208.92
41,2024-06-05,2,175,3,3,343.22,1029.66
42,2023-04-10,31,172,12,4,12.74,50.96
43,2023-06-29,3,14,5,2,306.95,613.9
44,2023-08-11,8,152,9,1,378.9,378.9
45,2024-10-20,24,111,12,3,272.15,816.45
46,2024-03-17,15,183,10,2,200.6,401.2
47,2024-08-30,43,143,19,3,425.77,1277.31
48,2023-11-21,31,83,5,2,12.74,25.48
49,2024-05-30,9,72,5,1,215.45,215.45
50,2023-01-16,39,162,9,4,304.95,1219.8
51,2023-12-02,45,130,20,2,52.23,104.46
52,2023-09-15,2,27,17,3,343.22,1029.66
53,2024-05-11,8,74,10,3,378.9,1136.7
54,2023-06-09,7,99,1,2,95.21,190.42
55,2024-04-19,44,72,16,1,227.48,227.48
56,2024-10-25,39,23,15,1,304.95,304.95
57,2024-11-20,42,68,17,4,457.91,1831.64
58,2024-11-05,16,142,20,4,463.7,1854.8
59,2024-01-15,35,191,13,3,11.97,35.91
60,2024-06-28,30,117,1,3,86.81,260.43
61,2024-11-21,10,106,8,4,107.93,431.72
62,2024-03-02,38,93,5,4,396.14,1584.56
63,2024-09-04,18,65,6,4,166.64,666.56
64,2023-09-25,50,68,20,2,140.99,281.98
65,2024-07-30,5,128,14,4,90.82,363.28
66,2024-02-21,29,63,11,2,151.66,303.32
67,2023-06-17,39,113,6,2,304.95,609.9
68,2023-02-12,34,90,11,4,150.28,601.12
69,2024-07-09,43,81,13,1,425.77,425.77
70,2023-10-12,45,103,12,1,52.23,52.23
71,2024-02-01,23,192,2,3,374.92,1124.76
72,2023-01-12,5,160,3,4,90.82,363.28
73,2024-08-29,30,116,4,3,86.81,260.43
74,2023-10-29,6,13,17,4,198.58,794.32
75,2023-09-10,46,194,6,3,188.56,565.68
76,2024-05-13,44,124,7,2,227.48,454.96
77,2023-02-04,4,147,15,4,417.43,1669.72
78,2024-12-27,29,152,11,1,151.66,151.66
79,2023-03-31,23,88,3,4,374.92,1499.68
80,2024-08-27,6,11,6,3,198.58,595.74
81,2024-08-24,32,187,2,3,214.58,643.74
82,2024-02-22,42,15,14,3,457.91,1373.73
83,2023-04-25,18,10,9,3,166.64,499.92
84,2024-09-08,15,41,18,3,200.6,601.8
85,2023-07-15,40,155,19,3,463.52,1390.56
86,2024-05-15,32,188,12,1,214.58,214.58
87,2024-09-17,9,73,13,3,215.45,646.35
88,2024-05-07,37,52,12,1,357.11,357.11
89,2023-03-16,10,128,12,4,107.93,431.72
90,2024-02-17,20,28,18,2,262.81,525.62
91,2024-01-11,6,65,9,1,198.58,198.58
92,2024-02-24,48,17,17,4,334.63,1338.52
93,2024-12-29,3,95,16,2,306.95,613.9
94,2023-10-04,42,172,17,1,457.91,457.91
95,2024-11-06,11,138,8,1,286.01,286.01
96,2024-01-29,43,63,11,4,425.77,1703.08
97,2024-04-01,17,175,2,3,365.0,1095.0
98,2023-07-11,32,38,8,1,214.58,214.58
99,2024-11-19,4,70,12,1,417.43,417.43
100,2023-04-09,4,104,1,4,417.43,1669.72
101,2024-07-01,17,53,13,3,365.0,1095.0
102,2023-04-06,41,172,17,2,327.28,654.56
103,2024-10-25,19,119,14,3,287.37,862.11
104,2024-10-24,5,74,14,3,90.82,272.46
105,2023-07-09,32,54,16,4,214.58,858.32
106,2023-02-06,22,20,17,3,423.04,1269.12
107,2024-01-04,6,79,6,4,198.58,794.32
108,2024-11-25,35,31,7,2,11.97,23.94
109,2024-06-08,22,135,1,1,423.04,423.04
110,2023-10-06,1,58,15,1,124.31,124.31
111,2023-08-05,20,105,20,4,262.81,1051.24
112,2023-09-30,22,10,18,4,423.04,1692.16
113,2023-03-03,48,10,13,3,334.63,1003.89
114,2024-08-18,11,39,2,3,286.01,858.03
115,2024-12-29,13,156,19,1,421.93,421.93
116,2023-12-08,42,158,15,1,457.91,457.91
117,2024-02-01,3,37,12,1,306.95,306.95
118,2024-11-29,9,119,15,4,215.45,861.8
119,2023-01-19,12,67,18,2,20.5,41.0
120,2023-06-26,23,43,14,2,374.92,749.84
121,2024-09-03,14,52,6,4,227.63,910.52
122,2024-01-31,33,101,12,3,200.47,601.41
